Id,SalePrice
1461,121801.0
1462,160573.0
1463,184420.0
1464,195128.0
1465,187825.0
1466,172967.0
1467,173958.0
1468,166067.0
1469,187879.0
1470,124845.0
1471,188044.0
1472,96943.0
1473,96090.0
1474,147159.0
1475,120461.0
1476,358962.0
1477,249412.0
1478,290714.0
1479,282381.0
1480,487290.0
1481,318423.0
1482,205331.0
1483,175256.0
1484,166191.0
1485,183778.0
1486,194382.0
1487,329563.0
1488,240232.0
1489,198074.0
1490,223296.0
1491,191060.0
1492,92775.0
1493,187189.0
1494,290927.0
1495,285969.0
1496,233379.0
1497,180592.0
1498,166182.0
1499,163106.0
1500,159542.0
1501,176895.0
1502,146896.0
1503,293694.0
1504,240356.0
1505,228098.0
1506,183441.0
1507,244236.0
1508,200026.0
1509,161378.0
1510,147672.0
1511,150114.0
1512,174900.0
1513,150486.0
1514,169352.0
1515,187866.0
1516,152319.0
1517,167359.0
1518,128745.0
1519,219913.0
1520,133938.0
1521,138444.0
1522,173650.0
1523,115775.0
1524,128655.0
1525,126738.0
1526,119050.0
1527,105279.0
1528,136888.0
1529,150518.0
1530,180141.0
1531,110672.0
1532,98093.0
1533,147290.0
1534,118969.0
1535,150460.0
1536,106623.0
1537,68180.0
1538,160762.0
1539,195084.0
1540,98499.0
1541,145477.0
1542,140451.0
1543,204881.0
1544,86751.0
1545,111905.0
1546,132162.0
1547,129126.0
1548,138467.0
1549,116948.0
1550,135145.0
1551,110999.0
1552,138507.0
1553,156888.0
1554,120590.0
1555,165861.0
1556,84217.0
1557,102088.0
1558,97388.0
1559,78341.0
1560,130848.0
1561,146396.0
1562,129935.0
1563,126997.0
1564,155377.0
1565,150001.0
1566,244292.0
1567,72950.0
1568,225054.0
1569,134674.0
1570,137744.0
1571,120429.0
1572,144855.0
1573,241306.0
1574,122348.0
1575,223813.0
1576,242366.0
1577,186937.0
1578,145706.0
1579,143482.0
1580,190896.0
1581,152203.0
1582,131560.0
1583,310483.0
1584,224778.0
1585,139467.0
1586,65604.0
1587,107715.0
1588,152018.0
1589,100927.0
1590,134409.0
1591,95562.0
1592,122607.0
1593,128183.0
1594,145413.0
1595,112273.0
1596,227370.0
1597,187837.0
1598,215452.0
1599,169990.0
1600,165640.0
1601,64725.0
1602,120038.0
1603,84327.0
1604,266041.0
1605,249172.0
1606,167818.0
1607,163149.0
1608,213213.0
1609,182254.0
1610,155841.0
1611,140864.0
1612,166410.0
1613,166214.0
1614,123089.0
1615,89910.0
1616,72233.0
1617,91465.0
1618,128486.0
1619,143284.0
1620,165175.0
1621,137921.0
1622,142618.0
1623,270474.0
1624,209946.0
1625,120387.0
1626,164532.0
1627,189566.0
1628,279609.0
1629,181360.0
1630,345417.0
1631,218280.0
1632,235953.0
1633,168912.0
1634,181077.0
1635,175127.0
1636,152883.0
1637,203201.0
1638,191019.0
1639,182291.0
1640,253613.0
1641,177957.0
1642,230422.0
1643,219327.0
1644,233857.0
1645,193119.0
1646,160149.0
1647,158054.0
1648,132525.0
1649,139748.0
